Staff_ID,Name,Role,Department_ID,Hire_Date,Salary,Location_ID
S0001,Benjamin Williams,Pharmacist,D003,2025-03-16,35762,L003
S0002,Cindy Hernandez,Nurse,D001,2017-07-31,35319,L002
S0003,Felicia Garza,Nurse,D003,2024-03-12,39910,L001
S0004,Andrew Miller,Pharmacist,D002,2020-06-20,88089,L002
S0005,Haley Foster,Nurse,D003,2019-10-27,133041,L001
S0006,Mariah Walsh,Admin,D008,2015-08-28,133777,L004
S0007,Vincent Johnson,Technician,D007,2019-01-08,59805,L005
S0008,Brandon Murphy,Doctor,D005,2020-04-05,111907,L005
S0009,Jonathan Daniel Jr.,Nurse,D005,2017-03-11,143941,L005
S0010,Stephanie Rodriguez,Technician,D005,2022-10-27,86057,L001
S0011,Jody Turner,Nurse,D005,2020-07-18,123037,L001
S0012,Ivan Little,Doctor,D006,2015-11-26,43225,L003
S0013,Robin Bishop,Technician,D006,2021-02-11,75868,L005
S0014,Elizabeth Holmes,Pharmacist,D001,2018-06-07,135887,L003
S0015,Erin Flynn DDS,Nurse,D008,2025-03-24,138179,L003
S0016,Christina Peterson,Admin,D002,2021-02-21,95134,L004
S0017,Mr. Michael Farmer,Admin,D002,2022-03-25,107261,L001
S0018,Adriana Nguyen,Admin,D003,2022-10-16,117912,L005
S0019,David Bond,Nurse,D007,2025-02-20,164167,L003
S0020,Dawn Mckenzie,Doctor,D003,2020-04-26,146951,L003
S0021,Tracy Miranda,Admin,D003,2021-07-27,185811,L003
S0022,Ryan Gutierrez,Doctor,D007,2019-06-22,118449,L005
S0023,Nathaniel Contreras,Doctor,D006,2020-07-27,156348,L003
S0024,Sarah Kim,Pharmacist,D007,2020-01-03,188883,L001
S0025,Mark Ramos,Admin,D002,2016-12-04,116273,L003
S0026,Roger Reed,Admin,D001,2021-05-02,47406,L002
S0027,Brian Rush,Admin,D006,2020-02-13,91996,L002
S0028,Angela Michael,Admin,D003,2018-10-30,97964,L004
S0029,Charlene Olsen,Pharmacist,D003,2015-06-02,77295,L001
S0030,Jenna Miller,Technician,D001,2019-12-24,54612,L002
S0031,Andrew Holloway,Doctor,D001,2022-03-25,195279,L005
S0032,John Mcdaniel,Doctor,D005,2020-06-10,88904,L001
S0033,Brian Pearson,Technician,D006,2025-04-20,36816,L003
S0034,Amanda Harvey,Doctor,D002,2015-04-29,78181,L001
S0035,Jenny Richards,Technician,D007,2023-07-30,86726,L003
S0036,Julia Cantrell,Nurse,D004,2023-04-08,172527,L001
S0037,Jason Hopkins,Technician,D001,2022-06-11,59254,L002
S0038,Robert Williams,Technician,D005,2023-01-05,57173,L001
S0039,Kyle Brown,Technician,D008,2023-09-18,192210,L005
S0040,Jeremy Reeves,Nurse,D002,2015-11-15,32053,L002
S0041,Jordan Jones,Doctor,D006,2022-02-11,130806,L001
S0042,Sandra Hunt,Pharmacist,D002,2020-01-29,175506,L005
S0043,Jeanette Mitchell,Admin,D002,2021-06-05,98753,L005
S0044,Chad Garrison,Admin,D008,2020-10-28,95150,L004
S0045,James Ramirez,Admin,D007,2015-06-09,145487,L001
S0046,Mark Smith,Pharmacist,D007,2024-02-09,120725,L002
S0047,Matthew Collins,Pharmacist,D004,2024-07-08,118702,L002
S0048,April Zamora,Nurse,D008,2024-07-08,51923,L002
S0049,David Daniels,Doctor,D007,2016-05-20,153441,L005
S0050,Jacqueline Harrison,Technician,D003,2021-06-05,125770,L002
S0051,Mary Snow,Doctor,D007,2023-10-09,96195,L003
S0052,Aaron Torres,Pharmacist,D001,2020-10-29,115873,L001
