Staff_ID,Name,Role,Department_ID,Hire_Date,Salary,Location_ID
S0001,Melissa Mcpherson,Doctor,D008,2022-03-03,182498,L001
S0002,Kyle Johnson,Nurse,D008,2018-06-24,50594,L005
S0003,Jessica Williams,Admin,D002,2017-12-20,116210,L004
S0004,Blake Cummings,Technician,D001,2023-12-12,123057,L004
S0005,James Watkins,Technician,D005,2017-08-22,63218,L003
S0006,Rebecca Fletcher,Technician,D004,2022-12-15,112429,L003
S0007,Amy Wilson,Technician,D003,2019-01-19,111022,L001
S0008,Brandi Weiss MD,Technician,D007,2023-01-28,69274,L003
S0009,Steven Smith,Admin,D002,2022-08-11,116799,L002
S0010,Jeanette Moore,Technician,D001,2020-10-19,155195,L005
S0011,Pamela James,Doctor,D003,2025-03-20,73652,L002
S0012,Douglas Browning,Nurse,D008,2021-10-12,105148,L003
S0013,Douglas Thomas,Technician,D004,2018-08-11,177710,L004
S0014,Ann Sanchez,Pharmacist,D005,2017-05-09,93192,L004
S0015,Danielle Butler,Pharmacist,D004,2016-10-12,189335,L002
S0016,Timothy Jordan,Admin,D001,2016-02-02,108133,L003
S0017,Sandra Bonilla,Nurse,D007,2016-03-12,140443,L005
S0018,Michelle Zimmerman,Admin,D003,2023-09-19,67614,L005
S0019,James Snow,Pharmacist,D006,2021-09-20,153735,L004
S0020,Sarah Hughes,Admin,D008,2018-07-28,61195,L005
S0021,Kelly Ferguson,Nurse,D008,2022-01-14,160583,L002
S0022,Thomas Sanford,Nurse,D004,2015-10-19,58386,L004
S0023,Courtney Calhoun,Pharmacist,D008,2022-08-11,60323,L001
S0024,Garrett Williams DDS,Admin,D006,2024-08-06,45775,L004
S0025,Susan Bates,Pharmacist,D003,2019-06-08,108129,L003
S0026,Matthew Martinez,Nurse,D008,2018-07-07,188115,L003
S0027,Maxwell Vega,Technician,D006,2018-05-01,170539,L002
S0028,Ryan Harper,Technician,D006,2017-04-15,49750,L005
S0029,Anne Clark,Pharmacist,D003,2019-09-20,57217,L001
S0030,Mariah Mack,Technician,D001,2018-09-01,99629,L005
S0031,Jared Howard,Admin,D004,2015-10-08,72177,L003
S0032,Robin Sullivan,Nurse,D003,2017-11-19,150033,L002
S0033,Lisa Meyers,Nurse,D008,2018-08-13,134192,L001
S0034,Barbara Parsons,Nurse,D006,2020-04-30,117684,L004
S0035,Bryce Brown,Nurse,D006,2023-03-16,173735,L001
S0036,Angela Perez,Nurse,D004,2017-01-12,157703,L003
S0037,Erica Fleming,Doctor,D005,2017-01-18,131405,L005
S0038,Rodney Jenkins,Technician,D007,2020-03-26,182001,L004
S0039,Heather Carrillo,Pharmacist,D006,2020-05-11,146439,L003
